type        entry_flag  entry_name                              entry_disp                              version                 latest                  release         support         web_regexp                                                                                                                                      web_path                                                                                                                                        web_tstamp                                      web_size        web_status      iso_path                                                                                iso_tstamp                                      iso_size        iso_volume                                  rmk_path                                                                                rmk_tstamp                                      rmk_size        rmk_volume                                  ldr_initrd                                                                              ldr_kernel                                                                              cfg_path                                                                                cfg_tstamp                                      lnk_path                                                                                create_flag 
netinst     L           debian-netinst-11                       Debian%2011                             debian-11.0             debian-11.0             2021-08-14      2024-08-15      https://cdimage.debian.org/cdimage/archive/latest-oldoldstable/amd64/iso-cd/debian-11.[0-9.]*-amd64-netinst.iso                                 -                                                                                                                                               -                                               -               -               :_DIRS_ISOS_:/linux/debian/debian-11.11.0-amd64-netinst.iso                             -                                               -               -                                           :_DIRS_RMAK_:/debian-11.11.0-amd64-netinst_preseed.iso                                  -                                               -               -                                           :_DIRS_LOAD_:/debian-netinst-11/install.amd/initrd.gz                                   :_DIRS_LOAD_:/debian-netinst-11/install.amd/vmlinuz                                     :_DIRS_CONF_:/preseed/ps_debian_server_old.cfg                                          -                                               -                                                                                       -           
netinst     o           debian-netinst-12                       Debian%2012                             debian-12.0             debian-12.0             2023-06-10      2026-06-10      https://cdimage.debian.org/cdimage/archive/latest-oldstable/amd64/iso-cd/debian-12.[0-9.]*-amd64-netinst.iso                                    -                                                                                                                                               -                                               -               -               :_DIRS_ISOS_:/linux/debian/debian-12.12.0-amd64-netinst.iso                             -                                               -               -                                           :_DIRS_RMAK_:/debian-12.12.0-amd64-netinst_preseed.iso                                  -                                               -               -                                           :_DIRS_LOAD_:/debian-netinst-12/install.amd/initrd.gz                                   :_DIRS_LOAD_:/debian-netinst-12/install.amd/vmlinuz                                     :_DIRS_CONF_:/preseed/ps_debian_server.cfg                                              -                                               -                                                                                       -           
netinst     o           debian-netinst-13                       Debian%2013                             debian-13.0             debian-13.0             2025-08-09      2028-08-09      https://cdimage.debian.org/cdimage/release/current/amd64/iso-cd/debian-13.[0-9.]*-amd64-netinst.iso                                             -                                                                                                                                               -                                               -               -               :_DIRS_ISOS_:/linux/debian/debian-13.2.0-amd64-netinst.iso                              -                                               -               -                                           :_DIRS_RMAK_:/debian-13.2.0-amd64-netinst_preseed.iso                                   -                                               -               -                                           :_DIRS_LOAD_:/debian-netinst-13/install.amd/initrd.gz                                   :_DIRS_LOAD_:/debian-netinst-13/install.amd/vmlinuz                                     :_DIRS_CONF_:/preseed/ps_debian_server.cfg                                              -                                               -                                                                                       -           
netinst     x           debian-netinst-13-rc1                   Debian%2013%20RC1                       debian-13.0             debian-13.0             2025-xx-xx      20xx-xx-xx      https://cdimage.debian.org/cdimage/trixie_di_rc1/amd64/iso-cd/debian-trixie-DI-rc1-amd64-netinst.iso                                            -                                                                                                                                               -                                               -               -               :_DIRS_ISOS_:/linux/debian/debian-trixie-DI-rc1-amd64-netinst.iso                       -                                               -               -                                           :_DIRS_RMAK_:/debian-trixie-DI-rc1-amd64-netinst_preseed.iso                            -                                               -               -                                           :_DIRS_LOAD_:/debian-netinst-13-rc1/install.amd/initrd.gz                               :_DIRS_LOAD_:/debian-netinst-13-rc1/install.amd/vmlinuz                                 :_DIRS_CONF_:/preseed/ps_debian_server.cfg                                              -                                               -                                                                                       -           
netinst     x           debian-netinst-13-rc2                   Debian%2013%20RC2                       debian-13.0             debian-13.0             2025-xx-xx      20xx-xx-xx      https://cdimage.debian.org/cdimage/trixie_di_rc2/amd64/iso-cd/debian-trixie-DI-rc2-amd64-netinst.iso                                            -                                                                                                                                               -                                               -               -               :_DIRS_ISOS_:/linux/debian/debian-trixie-DI-rc2-amd64-netinst.iso                       -                                               -               -                                           :_DIRS_RMAK_:/debian-trixie-DI-rc2-amd64-netinst_preseed.iso                            -                                               -               -                                           :_DIRS_LOAD_:/debian-netinst-13-rc2/install.amd/initrd.gz                               :_DIRS_LOAD_:/debian-netinst-13-rc2/install.amd/vmlinuz                                 :_DIRS_CONF_:/preseed/ps_debian_server.cfg                                              -                                               -                                                                                       -           
netinst     =           debian-netinst-14                       Debian%2014                             debian-14.0             debian-14.0             2027-xx-xx      20xx-xx-xx      -                                                                                                                                               -                                                                                                                                               -                                               -               -               :_DIRS_ISOS_:/linux/debian/debian-14.0.0-amd64-netinst.iso                              -                                               -               -                                           -                                                                                       -                                               -               -                                           :_DIRS_LOAD_:/debian-netinst-14/install.amd/initrd.gz                                   :_DIRS_LOAD_:/debian-netinst-14/install.amd/vmlinuz                                     :_DIRS_CONF_:/preseed/ps_debian_server.cfg                                              -                                               -                                                                                       -           
netinst     o           debian-netinst-testing                  Debian%20testing                        debian-testing          debian-testing          20xx-xx-xx      20xx-xx-xx      https://cdimage.debian.org/cdimage/daily-builds/daily/arch-latest/amd64/iso-cd/debian-testing-amd64-netinst.iso                                 -                                                                                                                                               -                                               -               -               :_DIRS_ISOS_:/linux/debian/debian-testing-amd64-netinst.iso                             -                                               -               -                                           :_DIRS_RMAK_:/debian-testing-amd64-netinst_preseed.iso                                  -                                               -               -                                           :_DIRS_LOAD_:/debian-netinst-testing/install.amd/initrd.gz                              :_DIRS_LOAD_:/debian-netinst-testing/install.amd/vmlinuz                                :_DIRS_CONF_:/preseed/ps_debian_server.cfg                                              -                                               -                                                                                       -           
netinst     x           fedora-netinst-40                       Fedora%20Server%2040                    fedora-40               fedora-40               2024-04-23      2025-05-28      https://download.fedoraproject.org/pub/fedora/linux/releases/40/Server/x86_64/iso/Fedora-Server-netinst-x86_64-40-[0-9.]*.iso                   -                                                                                                                                               -                                               -               -               :_DIRS_ISOS_:/linux/fedora/Fedora-Server-netinst-x86_64-40-1.14.iso                     -                                               -               -                                           :_DIRS_RMAK_:/Fedora-Server-netinst-x86_64-40-1.14_kickstart.iso                        -                                               -               -                                           :_DIRS_LOAD_:/fedora-netinst-40/images/pxeboot/initrd.img                               :_DIRS_LOAD_:/fedora-netinst-40/images/pxeboot/vmlinuz                                  :_DIRS_CONF_:/kickstart/ks_fedora-40_net.cfg                                            -                                               -                                                                                       -           
netinst     x           fedora-netinst-41                       Fedora%20Server%2041                    fedora-41               fedora-41               2024-10-29      2025-11-19      https://download.fedoraproject.org/pub/fedora/linux/releases/41/Server/x86_64/iso/Fedora-Server-netinst-x86_64-41-[0-9.]*.iso                   -                                                                                                                                               -                                               -               -               :_DIRS_ISOS_:/linux/fedora/Fedora-Server-netinst-x86_64-41-1.4.iso                      -                                               -               -                                           :_DIRS_RMAK_:/Fedora-Server-netinst-x86_64-41-1.4_kickstart.iso                         -                                               -               -                                           :_DIRS_LOAD_:/fedora-netinst-41/images/pxeboot/initrd.img                               :_DIRS_LOAD_:/fedora-netinst-41/images/pxeboot/vmlinuz                                  :_DIRS_CONF_:/kickstart/ks_fedora-41_net.cfg                                            -                                               -                                                                                       -           
netinst     x           fedora-netinst-42                       Fedora%20Server%2042                    fedora-42               fedora-42               2025-04-15      2026-05-13      https://download.fedoraproject.org/pub/fedora/linux/releases/42/Server/x86_64/iso/Fedora-Server-netinst-x86_64-42-[0-9.]*.iso                   -                                                                                                                                               -                                               -               -               :_DIRS_ISOS_:/linux/fedora/Fedora-Server-netinst-x86_64-42-1.1.iso                      -                                               -               -                                           :_DIRS_RMAK_:/Fedora-Server-netinst-x86_64-42-1.1_kickstart.iso                         -                                               -               -                                           :_DIRS_LOAD_:/fedora-netinst-42/images/pxeboot/initrd.img                               :_DIRS_LOAD_:/fedora-netinst-42/images/pxeboot/vmlinuz                                  :_DIRS_CONF_:/kickstart/ks_fedora-42_net.cfg                                            -                                               -                                                                                       -           
