type        entry_flag  entry_name                              entry_disp                              version                 latest                  release         support         web_regexp                                                                                                                                      web_path                                                                                                                                        web_tstamp                                      web_size        web_check                                       web_status      iso_path                                                                                iso_tstamp                                      iso_size        iso_volume                                  rmk_path                                                                                rmk_tstamp                                      rmk_size        rmk_volume                                  ldr_initrd                                                                              ldr_kernel                                                                              cfg_path                                                                                cfg_tstamp                                      lnk_path                                                                                options                                                     create_flag 
netinst     m           menu-entry                              Auto%20install%20Net%20install          -                       -                       -               -               -                                                                                                                                               -                                                                                                                                               -                                               -               -                                               -               -                                                                                       -                                               -               -                                           -                                                                                       -                                               -               -                                           -                                                                                       -                                                                                       -                                                                                       -                                               -                                                                                       -                                                           -           
netinst     L           debian-netinst-11                       Debian%2011                             debian-11.0             debian-11.0             2021-08-14      2026-08-31      https://cdimage.debian.org/cdimage/archive/latest-oldoldstable/amd64/iso-cd/debian[0-9.-]+-amd64-netinst.iso                                    https://cdimage.debian.org/cdimage/archive/latest-oldoldstable/amd64/iso-cd/debian-11.11.0-amd64-netinst.iso                                    2024-08-31T16:11:10+00:00                       408944640       2026-09-15T17:59:59.459507+00:00                200             :_DIRS_ISOS_:/linux/debian/debian-11.11.0-amd64-netinst.iso                             -                                               -               -                                           :_DIRS_RMAK_:/debian-11.11.0-amd64-netinst_preseed.iso                                  -                                               -               -                                           :_DIRS_LOAD_:/debian-netinst-11/install.amd/initrd.gz                                   :_DIRS_LOAD_:/debian-netinst-11/install.amd/vmlinuz                                     :_DIRS_CONF_:/preseed/ps_debian_server_oldold.cfg                                       -                                               -                                                                                       -                                                           -           
netinst     L           debian-netinst-12                       Debian%2012                             debian-12.0             debian-12.0             2023-06-10      2028-06-30      https://cdimage.debian.org/cdimage/archive/latest-oldstable/amd64/iso-cd/debian[0-9.-]+-amd64-netinst.iso                                       https://cdimage.debian.org/cdimage/archive/latest-oldstable/amd64/iso-cd/debian-12.15.0-amd64-netinst.iso                                       2026-07-11T15:44:52+00:00                       709885952       2026-09-15T18:00:01.108391+00:00                200             :_DIRS_ISOS_:/linux/debian/debian-12.15.0-amd64-netinst.iso                             2026-07-11T15:44:52+00:00                       709885952       -                                           :_DIRS_RMAK_:/debian-12.15.0-amd64-netinst_preseed.iso                                  -                                               -               -                                           :_DIRS_LOAD_:/debian-netinst-12/install.amd/initrd.gz                                   :_DIRS_LOAD_:/debian-netinst-12/install.amd/vmlinuz                                     :_DIRS_CONF_:/preseed/ps_debian_server_old.cfg                                          -                                               -                                                                                       -                                                           -           
netinst     o           debian-netinst-13                       Debian%2013                             debian-13.0             debian-13.0             2025-08-09      2030-06-30      https://cdimage.debian.org/cdimage/release/current/amd64/iso-cd/debian[0-9.-]+amd64-netinst.iso                                                 https://cdimage.debian.org/cdimage/release/current/amd64/iso-cd/debian-13.7.0-amd64-netinst.iso                                                 2026-09-12T11:34:07+00:00                       792723456       2026-09-15T18:00:03.305660+00:00                200             :_DIRS_ISOS_:/linux/debian/debian-13.7.0-amd64-netinst.iso                              -                                               -               -                                           :_DIRS_RMAK_:/debian-13.7.0-amd64-netinst_preseed.iso                                   -                                               -               -                                           :_DIRS_LOAD_:/debian-netinst-13/install.amd/initrd.gz                                   :_DIRS_LOAD_:/debian-netinst-13/install.amd/vmlinuz                                     :_DIRS_CONF_:/preseed/ps_debian_server.cfg                                              -                                               -                                                                                       -                                                           -           
netinst     U           debian-netinst-14                       Debian%2014                             debian-14.0             debian-14.0             2027-xx-xx      20xx-xx-xx      -                                                                                                                                               -                                                                                                                                               -                                               -               -                                               -               -                                                                                       -                                               -               -                                           -                                                                                       -                                               -               -                                           :_DIRS_LOAD_:/debian-netinst-14/install.amd/initrd.gz                                   :_DIRS_LOAD_:/debian-netinst-14/install.amd/vmlinuz                                     :_DIRS_CONF_:/preseed/ps_debian_server.cfg                                              -                                               -                                                                                       -                                                           -           
netinst     o           debian-netinst-testing-weekly           Debian%20testing%20weekly               debian-testing          debian-testing          20xx-xx-xx      20xx-xx-xx      https://cdimage.debian.org/cdimage/weekly-builds/amd64/iso-cd/debian-testing-amd64-netinst.iso                                                  https://cdimage.debian.org/cdimage/weekly-builds/amd64/iso-cd/debian-testing-amd64-netinst.iso                                                  2026-09-14T07:58:48+00:00                       998244352       2026-09-15T18:00:04.453469+00:00                200             :_DIRS_ISOS_:/linux/debian/debian-testing-weekly-builds-amd64-netinst.iso               -                                               -               -                                           :_DIRS_RMAK_:/debian-testing-weekly-builds-amd64-netinst_preseed.iso                    -                                               -               -                                           :_DIRS_LOAD_:/debian-netinst-testing/install.amd/initrd.gz                              :_DIRS_LOAD_:/debian-netinst-testing/install.amd/vmlinuz                                :_DIRS_CONF_:/preseed/ps_debian_server.cfg                                              -                                               -                                                                                       -                                                           -           
netinst     o           debian-netinst-testing-daily-current    Debian%20testing%20daily%20current      debian-testing          debian-testing          20xx-xx-xx      20xx-xx-xx      https://cdimage.debian.org/cdimage/daily-builds/daily/current/amd64/iso-cd/debian-testing-amd64-netinst.iso                                     https://cdimage.debian.org/cdimage/daily-builds/daily/current/amd64/iso-cd/debian-testing-amd64-netinst.iso                                     2026-09-15T15:11:46+00:00                       998244352       2026-09-15T18:00:05.600982+00:00                200             :_DIRS_ISOS_:/linux/debian/debian-testing-daily-builds-current-amd64-netinst.iso        -                                               -               -                                           :_DIRS_RMAK_:/debian-testing-daily-builds-current-amd64-netinst_preseed.iso             -                                               -               -                                           :_DIRS_LOAD_:/debian-netinst-testing-daily/install.amd/initrd.gz                        :_DIRS_LOAD_:/debian-netinst-testing-daily/install.amd/vmlinuz                          :_DIRS_CONF_:/preseed/ps_debian_server.cfg                                              -                                               -                                                                                       -                                                           -           
netinst     o           debian-netinst-testing-daily-latest     Debian%20testing%20daily%20arch-latest  debian-testing          debian-testing          20xx-xx-xx      20xx-xx-xx      https://cdimage.debian.org/cdimage/daily-builds/daily/arch-latest/amd64/iso-cd/debian-testing-amd64-netinst.iso                                 https://cdimage.debian.org/cdimage/daily-builds/daily/arch-latest/amd64/iso-cd/debian-testing-amd64-netinst.iso                                 2026-09-15T15:11:46+00:00                       998244352       2026-09-15T18:00:06.749007+00:00                200             :_DIRS_ISOS_:/linux/debian/debian-testing-daily-builds-arch-latest-amd64-netinst.iso    -                                               -               -                                           :_DIRS_RMAK_:/debian-testing-daily-builds-arch-latest-amd64-netinst_preseed.iso         -                                               -               -                                           :_DIRS_LOAD_:/debian-netinst-testing-daily/install.amd/initrd.gz                        :_DIRS_LOAD_:/debian-netinst-testing-daily/install.amd/vmlinuz                          :_DIRS_CONF_:/preseed/ps_debian_server.cfg                                              -                                               -                                                                                       -                                                           -           
netinst     o           fedora-netinst-43                       Fedora%20Server%2043                    fedora-43               fedora-43               2025-10-28      2026-12-09      https://download.fedoraproject.org/pub/fedora/linux/releases/43/Server/x86_64/iso/Fedora-Server-netinst-x86_64-43[0-9.-]+.iso                   https://download.fedoraproject.org/pub/fedora/linux/releases/43/Server/x86_64/iso/Fedora-Server-netinst-x86_64-43-1.6.iso                       2025-10-23T03:26:02+00:00                       1182896128      2026-09-15T18:00:07.527038+00:00                200             :_DIRS_ISOS_:/linux/fedora/Fedora-Server-netinst-x86_64-43-1.6.iso                      2025-10-23T03:26:02+00:00                       1182896128      -                                           :_DIRS_RMAK_:/Fedora-Server-netinst-x86_64-43-1.6_kickstart.iso                         -                                               -               -                                           :_DIRS_LOAD_:/fedora-netinst-43/images/pxeboot/initrd.img                               :_DIRS_LOAD_:/fedora-netinst-43/images/pxeboot/vmlinuz                                  :_DIRS_CONF_:/kickstart/ks_fedora-43_net.cfg                                            -                                               -                                                                                       -                                                           -           
netinst     o           fedora-netinst-44                       Fedora%20Server%2044                    fedora-44               fedora-44               2026-04-28      2027-06-02      https://download.fedoraproject.org/pub/fedora/linux/releases/44/Server/x86_64/iso/Fedora-Server-netinst-x86_64-44[0-9.-]+.iso                   https://download.fedoraproject.org/pub/fedora/linux/releases/44/Server/x86_64/iso/Fedora-Server-netinst-x86_64-44-1.7.iso                       2026-04-22T13:39:55+00:00                       1228384256      2026-09-15T18:00:07.762051+00:00                200             :_DIRS_ISOS_:/linux/fedora/Fedora-Server-netinst-x86_64-44-1.7.iso                      2026-04-22T13:39:55+00:00                       1228384256      -                                           :_DIRS_RMAK_:/Fedora-Server-netinst-x86_64-44-1.7_kickstart.iso                         -                                               -               -                                           :_DIRS_LOAD_:/fedora-netinst-44/images/pxeboot/initrd.img                               :_DIRS_LOAD_:/fedora-netinst-44/images/pxeboot/vmlinuz                                  :_DIRS_CONF_:/kickstart/ks_fedora-44_net.cfg                                            -                                               -                                                                                       -                                                           -           
