version                 name                    version_id              code_name                               life            release         support         long_term       rhel            kerne                       note                        wallpaper                                                                               create_flag sort_flag   
ubuntu-13.10            Ubuntu                  13.10                   Saucy%20Salamander                      EOL             2013-10-17      2014-07-17      -               -               3.11                        -                           -                                                                                       -           0           
ubuntu-14.04            Ubuntu                  14.04                   Trusty%20Tahr                           LTS             2014-04-17      2019-04-25      2029-04-xx      -               3.13                        -                           -                                                                                       -           0           
ubuntu-14.10            Ubuntu                  14.10                   Utopic%20Unicorn                        EOL             2014-10-23      2015-07-23      -               -               3.16                        -                           -                                                                                       -           0           
ubuntu-15.04            Ubuntu                  15.04                   Vivid%20Vervet                          EOL             2015-04-23      2016-02-04      -               -               3.19                        -                           -                                                                                       -           0           
ubuntu-15.10            Ubuntu                  15.10                   Wily%20Werewolf                         EOL             2015-10-22      2016-07-28      -               -               4.2                         -                           -                                                                                       -           0           
ubuntu-16.04            Ubuntu                  16.04                   Xenial%20Xerus                          LTS             2016-04-21      2021-04-30      2031-04-xx      -               4.4                         -                           -                                                                                       -           0           
ubuntu-16.10            Ubuntu                  16.10                   Yakkety%20Yak                           EOL             2016-10-13      2017-07-20      -               -               4.8                         -                           -                                                                                       -           0           
ubuntu-17.04            Ubuntu                  17.04                   Zesty%20Zapus                           EOL             2017-04-13      2018-01-13      -               -               4.10                        -                           -                                                                                       -           0           
ubuntu-17.10            Ubuntu                  17.10                   Artful%20Aardvark                       EOL             2017-10-19      2018-07-19      -               -               4.13                        -                           -                                                                                       -           0           
ubuntu-18.04            Ubuntu                  18.04                   Bionic%20Beaver                         LTS             2018-04-26      2023-05-31      2033-04-xx      -               4.15                        -                           -                                                                                       -           0           
ubuntu-18.10            Ubuntu                  18.10                   Cosmic%20Cuttlefish                     EOL             2018-10-18      2019-07-18      -               -               4.18                        -                           -                                                                                       -           0           
ubuntu-19.04            Ubuntu                  19.04                   Disco%20Dingo                           EOL             2019-04-18      2020-01-23      -               -               5.0                         -                           -                                                                                       -           0           
ubuntu-19.10            Ubuntu                  19.10                   Eoan%20Ermine                           EOL             2019-10-17      2020-07-17      -               -               5.3                         -                           -                                                                                       -           0           
ubuntu-20.04            Ubuntu                  20.04                   Focal%20Fossa                           LTS             2020-04-23      2025-05-29      2035-04-xx      -               5.4                         -                           -                                                                                       -           0           
ubuntu-20.10            Ubuntu                  20.10                   Groovy%20Gorilla                        EOL             2020-10-22      2021-07-22      -               -               5.8                         -                           -                                                                                       -           0           
ubuntu-21.04            Ubuntu                  21.04                   Hirsute%20Hippo                         EOL             2021-04-22      2022-01-20      -               -               5.11                        -                           -                                                                                       -           0           
ubuntu-21.10            Ubuntu                  21.10                   Impish%20Indri                          EOL             2021-10-14      2022-07-14      -               -               5.13                        -                           -                                                                                       -           0           
ubuntu-22.04            Ubuntu                  22.04                   Jammy%20Jellyfish                       -               2022-04-21      2027-06-xx      2037-04-xx      -               5.15%20or%205.17            -                           /usr/share/backgrounds/warty-final-ubuntu.png                                           -           0           
ubuntu-22.10            Ubuntu                  22.10                   Kinetic%20Kudu                          EOL             2022-10-20      2023-07-20      -               -               5.19                        -                           -                                                                                       -           0           
ubuntu-23.04            Ubuntu                  23.04                   Lunar%20Lobster                         EOL             2023-04-20      2024-01-25      -               -               6.2                         -                           -                                                                                       -           0           
ubuntu-23.10            Ubuntu                  23.10                   Mantic%20Minotaur                       EOL             2023-10-12      2024-07-11      -               -               6.5                         -                           -                                                                                       -           0           
ubuntu-24.04            Ubuntu                  24.04                   Noble%20Numbat                          -               2024-04-25      2029-06-xx      2039-04-xx      -               6.8                         -                           /usr/share/backgrounds/warty-final-ubuntu.png                                           -           0           
ubuntu-24.10            Ubuntu                  24.10                   Oracular%20Oriole                       EOL             2024-10-10      2025-07-10      -               -               6.11                        -                           /usr/share/backgrounds/warty-final-ubuntu.png                                           -           0           
ubuntu-25.04            Ubuntu                  25.04                   Plucky%20Puffin                         EOL             2025-04-17      2026-01-15      -               -               6.14                        -                           /usr/share/backgrounds/warty-final-ubuntu.png                                           -           0           
ubuntu-25.10            Ubuntu                  25.10                   Questing%20Quokka                       EOL             2025-10-09      2026-07-09      -               -               6.17                        -                           /usr/share/backgrounds/warty-final-ubuntu.png                                           -           0           
ubuntu-26.04            Ubuntu                  26.04                   Resolute%20Raccoon                      -               2026-04-23      2031-05-xx      2041-04-xx      -               7.0                         -                           /usr/share/backgrounds/warty-final-ubuntu.png                                           -           0           
ubuntu-26.10            Ubuntu                  26.10                   Stonking%20Stingray                     -               2026-10-15      2027-07-15      -               -               -                           -                           /usr/share/backgrounds/warty-final-ubuntu.png                                           -           0           
fedora-27               Fedora                  27                      -                                       EOL             2017-11-14      2018-11-30      -               -               4.13                        -                           -                                                                                       -           0           
fedora-28               Fedora                  28                      -                                       EOL             2018-05-01      2019-05-28      -               -               4.16                        -                           -                                                                                       -           0           
fedora-29               Fedora                  29                      -                                       EOL             2018-10-30      2019-11-26      -               -               4.18                        -                           -                                                                                       -           0           
fedora-30               Fedora                  30                      -                                       EOL             2019-04-30      2020-05-26      -               -               5.0                         -                           -                                                                                       -           0           
fedora-31               Fedora                  31                      -                                       EOL             2019-10-29      2020-11-24      -               -               5.3                         -                           -                                                                                       -           0           
fedora-32               Fedora                  32                      -                                       EOL             2020-04-28      2021-05-25      -               -               5.6                         -                           -                                                                                       -           0           
fedora-33               Fedora                  33                      -                                       EOL             2020-10-27      2021-11-30      -               -               5.8                         -                           -                                                                                       -           0           
fedora-34               Fedora                  34                      -                                       EOL             2021-04-27      2022-06-07      -               -               5.11                        -                           -                                                                                       -           0           
fedora-35               Fedora                  35                      -                                       EOL             2021-11-02      2022-12-13      -               -               5.14                        -                           -                                                                                       -           0           
fedora-36               Fedora                  36                      -                                       EOL             2022-05-10      2023-05-16      -               -               5.17                        -                           -                                                                                       -           0           
fedora-37               Fedora                  37                      -                                       EOL             2022-11-15      2023-12-05      -               -               6.0                         -                           -                                                                                       -           0           
fedora-38               Fedora                  38                      -                                       EOL             2023-04-18      2024-05-21      -               -               6.2                         -                           -                                                                                       -           0           
fedora-39               Fedora                  39                      -                                       EOL             2023-11-07      2024-11-26      -               -               6.5                         -                           -                                                                                       -           0           
fedora-40               Fedora                  40                      -                                       EOL             2024-04-23      2025-05-13      -               -               6.8                         -                           -                                                                                       -           0           
fedora-41               Fedora                  41                      -                                       EOL             2024-10-29      2025-12-15      -               -               6.11                        -                           -                                                                                       -           0           
fedora-42               Fedora                  42                      -                                       EOL             2025-04-15      2026-05-13      -               -               6.18                        -                           -                                                                                       -           0           
