netinst     L   debian-netinst-11                       Debian%2011                             debian-11.0             debian-11.0             2021-08-14      2024-08-15      https://cdimage.debian.org/cdimage/archive/latest-oldoldstable/amd64/iso-cd/debian-11.[0-9.]*-amd64-netinst.iso                                 https://cdimage.debian.org/cdimage/archive/latest-oldstable/amd64/iso-cd/debian-11.11.0-amd64-netinst.iso                                       2024-08-31%2016:11:10+0000                      408944640       200             :_DIRS_ISOS_:/debian-11.11.0-amd64-netinst.iso                                        2024-08-31%2016:11:10.0000000000+0000           408944640       Debian%2011.11.0%20amd64%20n                :_DIRS_RMAK_:/debian-11.11.0-amd64-netinst_preseed.iso                                2025-05-07%2012:27:59.0000000000+0000           468713472       Debian%2011.11.0%20amd64%20n                :_DIRS_LOAD_:/debian-netinst-11/install.amd/initrd.gz                                 :_DIRS_LOAD_:/debian-netinst-11/install.amd/vmlinuz                                   :_DIRS_CONF_:/preseed/ps_debian_server_old.cfg                                        2025-05-03%2006:18:42.0000000000+0000           :_DIRS_HGFS_:/linux/debian                                                            -  
netinst     o   debian-netinst-12                       Debian%2012                             debian-12.0             debian-12.0             2023-06-10      2026-06-10      https://cdimage.debian.org/cdimage/archive/latest-oldstable/amd64/iso-cd/debian-12.[0-9.]*-amd64-netinst.iso                                    https://cdimage.debian.org/cdimage/archive/latest-oldstable/amd64/iso-cd/debian-12.12.0-amd64-netinst.iso                                       2025-09-06%2017:08:10+0000                      704643072       200             :_DIRS_ISOS_:/debian-12.12.0-amd64-netinst.iso                                        2025-09-07%2002:08:10.0000000000+0900           704643072       Debian%2012.12.0%20amd64%20n                :_DIRS_RMAK_:/debian-12.12.0-amd64-netinst_preseed.iso                                2025-10-05%2002:15:22.0000000000+0900           873463808       Debian%2012.12.0%20amd64%20n                :_DIRS_LOAD_:/debian-netinst-12/install.amd/initrd.gz                                 :_DIRS_LOAD_:/debian-netinst-12/install.amd/vmlinuz                                   :_DIRS_CONF_:/preseed/ps_debian_server.cfg                                            2025-10-07%2012:25:36.0000000000+0900           :_DIRS_HGFS_:/linux/debian                                                            o  
netinst     o   debian-netinst-13                       Debian%2013                             debian-13.0             debian-13.0             2025-08-09      2028-08-09      https://cdimage.debian.org/cdimage/release/current/amd64/iso-cd/debian-13.[0-9.]*-amd64-netinst.iso                                             https://cdimage.debian.org/cdimage/release/current/amd64/iso-cd/debian-13.1.0-amd64-netinst.iso                                                 2025-09-06%2012:34:10+0000                      821035008       200             :_DIRS_ISOS_:/debian-13.1.0-amd64-netinst.iso                                         2025-09-06%2021:34:10.0000000000+0900           821035008       Debian%2013.1.0%20amd64%20n                 :_DIRS_RMAK_:/debian-13.1.0-amd64-netinst_preseed.iso                                 2025-10-05%2002:15:37.0000000000+0900           1015021568      Debian%2013.1.0%20amd64%20n                 :_DIRS_LOAD_:/debian-netinst-13/install.amd/initrd.gz                                 :_DIRS_LOAD_:/debian-netinst-13/install.amd/vmlinuz                                   :_DIRS_CONF_:/preseed/ps_debian_server.cfg                                            2025-10-07%2012:25:36.0000000000+0900           :_DIRS_HGFS_:/linux/debian                                                            o  
netinst     x   debian-netinst-13-rc1                   Debian%2013%20RC1                       debian-13.0             debian-13.0             2025-xx-xx      20xx-xx-xx      https://cdimage.debian.org/cdimage/trixie_di_rc1/amd64/iso-cd/debian-trixie-DI-rc1-amd64-netinst.iso                                            https://cdimage.debian.org/cdimage/trixie_di_rc1/amd64/iso-cd/debian-trixie-DI-rc1-amd64-netinst.iso                                            2025-05-15%2023:48:37+0000                      806354944       200             :_DIRS_ISOS_:/debian-trixie-DI-rc1-amd64-netinst.iso                                  2025-05-15%2023:48:37.0000000000+0000           806354944       Debian%20trixie-DI-rc1%20amd64%20n          :_DIRS_RMAK_:/debian-trixie-DI-rc1-amd64-netinst_preseed.iso                          2025-07-07%2011:50:49.0000000000+0000           997195776       Debian%20trixie-DI-rc1%20amd64%20n          :_DIRS_LOAD_:/debian-netinst-13-rc1/install.amd/initrd.gz                             :_DIRS_LOAD_:/debian-netinst-13-rc1/install.amd/vmlinuz                               :_DIRS_CONF_:/preseed/ps_debian_server.cfg                                            2025-07-05%2001:45:28.0000000000+0000           :_DIRS_HGFS_:/linux/debian                                                            s  
netinst     x   debian-netinst-13-rc2                   Debian%2013%20RC2                       debian-13.0             debian-13.0             2025-xx-xx      20xx-xx-xx      https://cdimage.debian.org/cdimage/trixie_di_rc2/amd64/iso-cd/debian-trixie-DI-rc2-amd64-netinst.iso                                            https://cdimage.debian.org/cdimage/trixie_di_rc2/amd64/iso-cd/debian-trixie-DI-rc2-amd64-netinst.iso                                            2025-07-02%2001:07:09+0000                      815792128       200             :_DIRS_ISOS_:/debian-trixie-DI-rc2-amd64-netinst.iso                                  2025-07-02%2010:07:09.0000000000+0900           815792128       Debian%20trixie-DI-rc2%20amd64%20n          :_DIRS_RMAK_:/debian-trixie-DI-rc2-amd64-netinst_preseed.iso                          2025-07-26%2015:33:59.0000000000+0900           1009778688      Debian%20trixie-DI-rc2%20amd64%20n          :_DIRS_LOAD_:/debian-netinst-13-rc2/install.amd/initrd.gz                             :_DIRS_LOAD_:/debian-netinst-13-rc2/install.amd/vmlinuz                               :_DIRS_CONF_:/preseed/ps_debian_server.cfg                                            2025-07-26%2011:13:08.0000000000+0900           :_DIRS_HGFS_:/linux/debian                                                            s  
netinst     -   debian-netinst-14                       Debian%2014                             debian-14.0             debian-14.0             2027-xx-xx      20xx-xx-xx      -                                                                                                                                               -                                                                                                                                               -                                               -               -               :_DIRS_ISOS_:/debian-14.0.0-amd64-netinst.iso                                         -                                               -               -                                           -                                                                                     -                                               -               -                                           :_DIRS_LOAD_:/debian-netinst-14/install.amd/initrd.gz                                 :_DIRS_LOAD_:/debian-netinst-14/install.amd/vmlinuz                                   :_DIRS_CONF_:/preseed/ps_debian_server.cfg                                            2025-05-03%2006:18:42.000000+00                 :_DIRS_HGFS_:/linux/debian                                                            -  
netinst     o   debian-netinst-testing                  Debian%20testing                        debian-testing          debian-testing          20xx-xx-xx      20xx-xx-xx      https://cdimage.debian.org/cdimage/daily-builds/daily/arch-latest/amd64/iso-cd/debian-testing-amd64-netinst.iso                                 https://cdimage.debian.org/cdimage/daily-builds/daily/arch-latest/amd64/iso-cd/debian-testing-amd64-netinst.iso                                 2025-10-09%2009:11:58+0000                      873463808       200             :_DIRS_ISOS_:/debian-testing-amd64-netinst.iso                                        2025-10-09%2018:11:58.0000000000+0900           873463808       Debian%20testing%20amd64%20n                :_DIRS_RMAK_:/debian-testing-amd64-netinst_preseed.iso                                2025-10-05%2002:15:55.0000000000+0900           1135280128      Debian%20testing%20amd64%20n                :_DIRS_LOAD_:/debian-netinst-testing/install.amd/initrd.gz                            :_DIRS_LOAD_:/debian-netinst-testing/install.amd/vmlinuz                              :_DIRS_CONF_:/preseed/ps_debian_server.cfg                                            2025-10-07%2012:25:36.0000000000+0900           :_DIRS_HGFS_:/linux/debian                                                            o  
netinst     x   fedora-netinst-40                       Fedora%20Server%2040                    fedora-40               fedora-40               2024-04-23      2025-05-28      https://download.fedoraproject.org/pub/fedora/linux/releases/40/Server/x86_64/iso/Fedora-Server-netinst-x86_64-40-[0-9.]*.iso                   https://download.fedoraproject.org/pub/fedora/linux/releases/40/Server/x86_64/iso/Fedora-Server-netinst-x86_64-40-1.14.iso                      2024-04-14%2018:30:19+0000                      812312576       200             :_DIRS_ISOS_:/Fedora-Server-netinst-x86_64-40-1.14.iso                                -                                               -               -                                           :_DIRS_RMAK_:/Fedora-Server-netinst-x86_64-40-1.14_kickstart.iso                      -                                               -               -                                           :_DIRS_LOAD_:/fedora-netinst-40/images/pxeboot/initrd.img                             :_DIRS_LOAD_:/fedora-netinst-40/images/pxeboot/vmlinuz                                :_DIRS_CONF_:/kickstart/ks_fedora-40_net.cfg                                          -                                               :_DIRS_HGFS_:/linux/fedora                                                            -  
netinst     x   fedora-netinst-41                       Fedora%20Server%2041                    fedora-41               fedora-41               2024-10-29      2025-11-19      https://download.fedoraproject.org/pub/fedora/linux/releases/41/Server/x86_64/iso/Fedora-Server-netinst-x86_64-41-[0-9.]*.iso                   https://download.fedoraproject.org/pub/fedora/linux/releases/41/Server/x86_64/iso/Fedora-Server-netinst-x86_64-41-1.4.iso                       2024-10-24%2013:36:10+0000                      954900480       200             :_DIRS_ISOS_:/Fedora-Server-netinst-x86_64-41-1.4.iso                                 2024-10-24%2013:36:10.0000000000+0000           954900480       Fedora-S-dvd-x86_64-41                      :_DIRS_RMAK_:/Fedora-Server-netinst-x86_64-41-1.4_kickstart.iso                       2025-07-11%2012:51:46.0000000000+0000           955183104       Fedora-S-dvd-x86_64-41                      :_DIRS_LOAD_:/fedora-netinst-41/images/pxeboot/initrd.img                             :_DIRS_LOAD_:/fedora-netinst-41/images/pxeboot/vmlinuz                                :_DIRS_CONF_:/kickstart/ks_fedora-41_net.cfg                                          2025-07-07%2010:27:46.0000000000+0000           :_DIRS_HGFS_:/linux/fedora                                                            s  
netinst     o   fedora-netinst-42                       Fedora%20Server%2042                    fedora-42               fedora-42               2025-04-15      2026-05-13      https://download.fedoraproject.org/pub/fedora/linux/releases/42/Server/x86_64/iso/Fedora-Server-netinst-x86_64-42-[0-9.]*.iso                   https://download.fedoraproject.org/pub/fedora/linux/releases/42/Server/x86_64/iso/Fedora-Server-netinst-x86_64-42-1.1.iso                       2025-04-09%2011:48:26+0000                      966010880       200             :_DIRS_ISOS_:/Fedora-Server-netinst-x86_64-42-1.1.iso                                 2025-04-09%2020:48:26.0000000000+0900           966010880       Fedora-S-dvd-x86_64-42                      :_DIRS_RMAK_:/Fedora-Server-netinst-x86_64-42-1.1_kickstart.iso                       2025-10-05%2002:16:16.0000000000+0900           966313984       Fedora-S-dvd-x86_64-42                      :_DIRS_LOAD_:/fedora-netinst-42/images/pxeboot/initrd.img                             :_DIRS_LOAD_:/fedora-netinst-42/images/pxeboot/vmlinuz                                :_DIRS_CONF_:/kickstart/ks_fedora-42_net.cfg                                          2025-10-07%2012:25:35.0000000000+0900           :_DIRS_HGFS_:/linux/fedora                                                            o  
