type        entry_flag  entry_name                              entry_disp                              version                 latest                  release         support         web_regexp                                                                                                                                      web_path                                                                                                                                        web_tstamp                                      web_size        web_check                                       web_status      iso_path                                                                                iso_tstamp                                      iso_size        iso_volume                                  rmk_path                                                                                rmk_tstamp                                      rmk_size        rmk_volume                                  ldr_initrd                                                                              ldr_kernel                                                                              cfg_path                                                                                cfg_tstamp                                      lnk_path                                                                                create_flag 
netinst     o           fedora-netinst-43                       Fedora%20Server%2043                    fedora-43               fedora-43               2025-11-11      2026-12-02      https://download.fedoraproject.org/pub/fedora/linux/releases/43/Server/x86_64/iso/Fedora-Server-netinst-x86_64-43-[0-9.]*.iso                   https://download.fedoraproject.org/pub/fedora/linux/releases/43/Server/x86_64/iso/Fedora-Server-netinst-x86_64-43-1.6.iso                       2025-10-23%2003:26:02+0000                      1182896128      -                                               200             :_DIRS_ISOS_:/linux/fedora/Fedora-Server-netinst-x86_64-43-1.6.iso                      2025-10-23%2003:26:02+0000                      1182896128      Fedora-S-dvd-x86_64-43                      :_DIRS_RMAK_:/Fedora-Server-netinst-x86_64-43-1.6_kickstart.iso                         2026-01-03%2023:43:16+0000                      1183262720      Fedora-S-dvd-x86_64-43                      :_DIRS_LOAD_:/fedora-netinst-43/images/pxeboot/initrd.img                               :_DIRS_LOAD_:/fedora-netinst-43/images/pxeboot/vmlinuz                                  :_DIRS_CONF_:/kickstart/ks_fedora-43_net.cfg                                            2026-01-04%2000:14:00+0000                      -                                                                                       c           
netinst     o           centos-stream-netinst-9                 CentOS%20Stream%209                     centos-stream-9         centos-stream-9         2021-12-03      2027-05-31      https://ftp.iij.ad.jp/pub/linux/centos-stream/9-stream/BaseOS/x86_64/iso/CentOS-Stream-9-latest-x86_64-boot.iso                                 https://ftp.iij.ad.jp/pub/linux/centos-stream/9-stream/BaseOS/x86_64/iso/CentOS-Stream-9-latest-x86_64-boot.iso                                 2025-12-23%2004:01:35+0000                      1523744768      2026-01-04%2000:14:35+0000                      200             :_DIRS_ISOS_:/linux/centos/CentOS-Stream-9-latest-x86_64-boot.iso                       2025-12-23%2004:01:35+0000                      1523744768      CentOS-Stream-9-BaseOS-x86_64               :_DIRS_RMAK_:/CentOS-Stream-9-latest-x86_64-boot_kickstart.iso                          2026-01-03%2023:43:54+0000                      1764491264      CentOS-Stream-9-BaseOS-x86_64               :_DIRS_LOAD_:/centos-stream-netinst-9/images/pxeboot/initrd.img                         :_DIRS_LOAD_:/centos-stream-netinst-9/images/pxeboot/vmlinuz                            :_DIRS_CONF_:/kickstart/ks_centos-stream-9_net.cfg                                      2026-01-04%2000:14:00+0000                      -                                                                                       c           
netinst     o           centos-stream-netinst-10                CentOS%20Stream%2010                    centos-stream-10        centos-stream-10        2024-12-12      2030-01-01      https://ftp.iij.ad.jp/pub/linux/centos-stream/10-stream/BaseOS/x86_64/iso/CentOS-Stream-10-latest-x86_64-boot.iso                               https://ftp.iij.ad.jp/pub/linux/centos-stream/10-stream/BaseOS/x86_64/iso/CentOS-Stream-10-latest-x86_64-boot.iso                               2025-12-23%2016:26:24+0000                      1043101696      2026-01-04%2000:14:35+0000                      200             :_DIRS_ISOS_:/linux/centos/CentOS-Stream-10-latest-x86_64-boot.iso                      2025-12-23%2016:26:24+0000                      1043101696      CentOS-Stream-10-BaseOS-x86_64              :_DIRS_RMAK_:/CentOS-Stream-10-latest-x86_64-boot_kickstart.iso                         2026-01-03%2023:44:25+0000                      1043468288      CentOS-Stream-10-BaseOS-x86_64              :_DIRS_LOAD_:/centos-stream-netinst-10/images/pxeboot/initrd.img                        :_DIRS_LOAD_:/centos-stream-netinst-10/images/pxeboot/vmlinuz                           :_DIRS_CONF_:/kickstart/ks_centos-stream-10_net.cfg                                     2026-01-04%2000:14:00+0000                      -                                                                                       c           
netinst     o           almalinux-netinst-9                     Alma%20Linux%209                        almalinux-9             almalinux-9.6           2025-05-20      20xx-xx-xx      https://repo.almalinux.org/almalinux/9/isos/x86_64/AlmaLinux-9-latest-x86_64-boot.iso                                                           https://repo.almalinux.org/almalinux/9/isos/x86_64/AlmaLinux-9-latest-x86_64-boot.iso                                                           2025-11-15%2011:25:21+0000                      1473511424      2026-01-04%2000:14:35+0000                      200             :_DIRS_ISOS_:/linux/almalinux/AlmaLinux-9-latest-x86_64-boot.iso                        2025-11-15%2011:25:21+0000                      1473511424      AlmaLinux-9-7-x86_64-dvd                    :_DIRS_RMAK_:/AlmaLinux-9-latest-x86_64-boot_kickstart.iso                              2026-01-03%2023:45:02+0000                      1647968256      AlmaLinux-9-7-x86_64-dvd                    :_DIRS_LOAD_:/almalinux-netinst-9/images/pxeboot/initrd.img                             :_DIRS_LOAD_:/almalinux-netinst-9/images/pxeboot/vmlinuz                                :_DIRS_CONF_:/kickstart/ks_almalinux-9_net.cfg                                          2026-01-04%2000:13:59+0000                      -                                                                                       c           
netinst     o           almalinux-netinst-10                    Alma%20Linux%2010                       almalinux-10            almalinux-10.0          2025-05-27      20xx-xx-xx      https://repo.almalinux.org/almalinux/10/isos/x86_64/AlmaLinux-10-latest-x86_64-boot.iso                                                         https://repo.almalinux.org/almalinux/10/isos/x86_64/AlmaLinux-10-latest-x86_64-boot.iso                                                         2025-11-19%2019:24:42+0000                      971849728       2026-01-04%2000:14:36+0000                      200             :_DIRS_ISOS_:/linux/almalinux/AlmaLinux-10-latest-x86_64-boot.iso                       2025-11-19%2019:24:42+0000                      971849728       AlmaLinux-10-1-x86_64-dvd                   :_DIRS_RMAK_:/AlmaLinux-10-latest-x86_64-boot_kickstart.iso                             2026-01-03%2023:45:30+0000                      972216320       AlmaLinux-10-1-x86_64-dvd                   :_DIRS_LOAD_:/almalinux-netinst-10/images/pxeboot/initrd.img                            :_DIRS_LOAD_:/almalinux-netinst-10/images/pxeboot/vmlinuz                               :_DIRS_CONF_:/kickstart/ks_almalinux-10_net.cfg                                         2026-01-04%2000:14:00+0000                      -                                                                                       c           
netinst     o           rockylinux-netinst-9                    Rocky%20Linux%209                       rockylinux-9            rockylinux-9.6          2024-11-19      20xx-xx-xx      https://download.rockylinux.org/pub/rocky/9/isos/x86_64/Rocky-9-latest-x86_64-boot.iso                                                          https://download.rockylinux.org/pub/rocky/9/isos/x86_64/Rocky-9-latest-x86_64-boot.iso                                                          2025-11-22%2008:49:29+0000                      1353646080      2026-01-04%2000:14:37+0000                      200             :_DIRS_ISOS_:/linux/rockylinux/Rocky-9-latest-x86_64-boot.iso                           2025-11-22%2008:49:29+0000                      1353646080      Rocky-9-7-x86_64-dvd                        :_DIRS_RMAK_:/Rocky-9-latest-x86_64-boot_kickstart.iso                                  2026-01-03%2023:46:05+0000                      1526923264      Rocky-9-7-x86_64-dvd                        :_DIRS_LOAD_:/rockylinux-netinst-9/images/pxeboot/initrd.img                            :_DIRS_LOAD_:/rockylinux-netinst-9/images/pxeboot/vmlinuz                               :_DIRS_CONF_:/kickstart/ks_rockylinux-9_net.cfg                                         2026-01-04%2000:14:01+0000                      -                                                                                       c           
netinst     o           rockylinux-netinst-10                   Rocky%20Linux%2010                      rockylinux-10           rockylinux-10.0         20xx-xx-xx      20xx-xx-xx      https://download.rockylinux.org/pub/rocky/10/isos/x86_64/Rocky-10-latest-x86_64-boot.iso                                                        https://download.rockylinux.org/pub/rocky/10/isos/x86_64/Rocky-10-latest-x86_64-boot.iso                                                        2025-11-14%2018:42:16+0000                      965412864       2026-01-04%2000:14:37+0000                      200             :_DIRS_ISOS_:/linux/rockylinux/Rocky-10-latest-x86_64-boot.iso                          2025-11-14%2018:42:16+0000                      965412864       Rocky-10-1-x86_64-dvd                       :_DIRS_RMAK_:/Rocky-10-latest-x86_64-boot_kickstart.iso                                 2026-01-03%2023:46:35+0000                      965779456       Rocky-10-1-x86_64-dvd                       :_DIRS_LOAD_:/rockylinux-netinst-10/images/pxeboot/initrd.img                           :_DIRS_LOAD_:/rockylinux-netinst-10/images/pxeboot/vmlinuz                              :_DIRS_CONF_:/kickstart/ks_rockylinux-10_net.cfg                                        2026-01-04%2000:14:01+0000                      -                                                                                       c           
netinst     o           miraclelinux-netinst-9                  Miracle%20Linux%209                     miraclelinux-9          miraclelinux-9.6        2025-07-14      20xx-xx-xx      https://repo.dist.miraclelinux.net/miraclelinux/isos/9.[0-9.]*-released/x86_64/MIRACLELINUX-9.[0-9.]*-rtm-minimal-x86_64.iso                    https://repo.dist.miraclelinux.net/miraclelinux/isos/9.6-released/x86_64/MIRACLELINUX-9.6-rtm-minimal-x86_64.iso                                2025-07-09%2005:20:51+0000                      2676490240      -                                               200             :_DIRS_ISOS_:/linux/miraclelinux/MIRACLELINUX-9.6-rtm-minimal-x86_64.iso                2025-07-09%2005:20:51+0000                      2676490240      MIRACLE-LINUX-9-6-x86_64                    :_DIRS_RMAK_:/MIRACLELINUX-9.6-rtm-minimal-x86_64_kickstart.iso                         2026-01-03%2023:47:45+0000                      2852126720      MIRACLE-LINUX-9-6-x86_64                    :_DIRS_LOAD_:/miraclelinux-netinst-9/images/pxeboot/initrd.img                          :_DIRS_LOAD_:/miraclelinux-netinst-9/images/pxeboot/vmlinuz                             :_DIRS_CONF_:/kickstart/ks_miraclelinux-9_net.cfg                                       2026-01-04%2000:14:01+0000                      -                                                                                       c           
netinst     x           opensuse-leap-netinst-15.6              openSUSE%20Leap%2015.6                  opensuse-leap-15.6      opensuse-leap-15.6      2024-06-12      2025-12-31      https://download.opensuse.org/distribution/leap/15.6/iso/openSUSE-Leap-15.6-NET-x86_64-Media.iso                                                -                                                                                                                                               -                                               -               -                                               -               :_DIRS_ISOS_:/linux/opensuse/openSUSE-Leap-15.6-NET-x86_64-Media.iso                    -                                               -               -                                           :_DIRS_RMAK_:/openSUSE-Leap-15.6-NET-x86_64-Media_autoyast.iso                          -                                               -               -                                           :_DIRS_LOAD_:/opensuse-leap-netinst-15.6/boot/x86_64/loader/initrd                      :_DIRS_LOAD_:/opensuse-leap-netinst-15.6/boot/x86_64/loader/linux                       :_DIRS_CONF_:/autoyast/autoinst_leap-15.6_net.xml                                       -                                               -                                                                                       -           
netinst     o           opensuse-leap-netinst-16.0              openSUSE%20Leap%2016.0                  opensuse-leap-16.0      opensuse-leap-16.0      2025-10-xx      20xx-xx-xx      https://download.opensuse.org/distribution/leap/16.0/offline/Leap-16.0-online-installer-x86_64.install.iso                                      https://download.opensuse.org/distribution/leap/16.0/offline/Leap-16.0-online-installer-x86_64.install.iso                                      2025-09-29%2013:49:38+0000                      683671552       2026-01-04%2000:14:40+0000                      200             :_DIRS_ISOS_:/linux/opensuse/Leap-16.0-online-installer-x86_64.install.iso              2025-09-29%2013:49:38+0000                      683671552       Install-Leap-16.0-x86_64                    :_DIRS_RMAK_:/Leap-16.0-online-installer-x86_64.install_agama.iso                       2026-01-03%2023:48:13+0000                      682926080       Install-Leap-16.0-x86_64                    :_DIRS_LOAD_:/opensuse-leap-netinst-16.0/boot/x86_64/loader/initrd                      :_DIRS_LOAD_:/opensuse-leap-netinst-16.0/boot/x86_64/loader/linux                       :_DIRS_CONF_:/agama/autoinst_leap-16.0.json                                             2026-01-04%2000:13:59+0000                      -                                                                                       c           
netinst     o           opensuse-tumbleweed-netinst             openSUSE%20Tumbleweed                   opensuse-tumbleweed     opensuse-tumbleweed     2014-11-xx      20xx-xx-xx      https://download.opensuse.org/tumbleweed/iso/openSUSE-Tumbleweed-NET-x86_64-Current.iso                                                         https://download.opensuse.org/tumbleweed/iso/openSUSE-Tumbleweed-NET-x86_64-Current.iso                                                         2026-01-02%2014:35:46+0000                      389021696       2026-01-04%2000:14:45+0000                      200             :_DIRS_ISOS_:/linux/opensuse/openSUSE-Tumbleweed-NET-x86_64-Current.iso                 2026-01-02%2014:35:46+0000                      389021696       openSUSE-Tumbleweed-NET-x86_64              :_DIRS_RMAK_:/openSUSE-Tumbleweed-NET-x86_64-Current_autoyast.iso                       2026-01-03%2023:48:26+0000                      383778816       openSUSE-Tumbleweed-NET-x86_64              :_DIRS_LOAD_:/opensuse-tumbleweed-netinst/boot/x86_64/loader/initrd                     :_DIRS_LOAD_:/opensuse-tumbleweed-netinst/boot/x86_64/loader/linux                      :_DIRS_CONF_:/autoyast/autoinst_tumbleweed_net.xml                                      2026-01-04%2000:13:59+0000                      -                                                                                       c           
